"Curve number","Curve identifier","Curve type","RMSE (min-W, all Ci)","Vcmax_at_25 (min-W, all Ci)","J_at_25 (min-W, all Ci)","Tp_at_25 (min-W, all Ci)","alpha_old (min-W, all Ci)","RL_at_25 (min-W, all Ci)","RMSE (min-W, Ci above threshold)","Vcmax_at_25 (min-W, Ci above threshold)","J_at_25 (min-W, Ci above threshold)","Tp_at_25 (min-W, Ci above threshold)","alpha_old (min-W, Ci above threshold)","RL_at_25 (min-W, Ci above threshold)","RMSE (min-A, all Ci)","Vcmax_at_25 (min-A, all Ci)","J_at_25 (min-A, all Ci)","Tp_at_25 (min-A, all Ci)","alpha_old (min-A, all Ci)","RL_at_25 (min-A, all Ci)","RMSE (min-A, Ci above threshold)","Vcmax_at_25 (min-A, Ci above threshold)","J_at_25 (min-A, Ci above threshold)","Tp_at_25 (min-A, Ci above threshold)","alpha_old (min-A, Ci above threshold)","RL_at_25 (min-A, Ci above threshold)"
15,"500 - wt-3 - ripe5","with Ad",0.194111261803249,76.8079088498874,128.991028611795,7.84475878994437,0.717479212461146,1.78118554049756,0.158890719555364,76.2133749473708,128.485283166118,7.81082760439021,0.720519706759759,1.68102700885201,0.735364293929194,72.8360445759463,124.779609747847,7.62016270170092,0.735134284954655,1.1087485112269,0.158896138002641,76.2149803026787,128.476308693188,7.8112501322118,0.719318825449684,1.68035968830511
16,"1200 - wt-6 - mcgrath1","with Ad",0.384491572586002,93.5660513821464,168.291384628673,9.53466063907593,0.963818361092391,1.81247808390877,0.326757737873321,94.7858497070965,169.62379333404,9.62440998853842,0.955750796655914,2.07942256513616,2.13165071979854,85.4991678795902,152.22322619559,8.95923822331701,1.01108733808429,0.0699159234306402,0.342263945777948,94.3317446811234,169.762081742533,9.81295853925998,0.804065381528858,2.0284404583447
17,"500 - wt-7 - ripe5","with Ad",0.271291667841483,82.8779390372935,127.05701646987,6.91317769219609,0.935750243459958,1.90416941742988,0.205053349998241,81.7402746736292,126.166351065824,6.85745003358245,0.941229631854949,1.73542986255145,0.883203351323425,76.1870045246107,120.373765250006,6.58339376504334,0.970701598099097,0.905294506601356,0.205051790829972,81.7390521750073,126.145158610416,6.85739540017735,0.941330828792069,1.73384547807175
18,"600 - wt-1 - mcgrath1","with Ad",0.198366801648241,63.5722037596545,111.804257493032,5.49831668865838,1.3690057270653,1.4192344076829,0.078858547499377,63.1081303599163,111.370436939264,5.47022472285472,1.37332942268487,1.33261797790111,0.97643011092843,57.8978027964538,102.75697772841,5.14974400943475,1.42915354340236,0.342195797332047,0.0788645839889171,63.1052658932421,111.357167801009,5.46800531890701,1.37581569965975,1.33174598506499
19,"300 - wt-3 - ripe5","without Ad",0.279458405959544,56.8511801930295,94.1395184114937,NA,NA,1.54672746013164,0.296936823151976,56.5807941048305,93.9976216232428,NA,NA,1.512425200398,0.492191502815398,51.4975519316917,92.3382137052421,NA,NA,1.07350921922238,0.296919980494353,56.600428102509,94.0073983468934,NA,NA,1.51498877788166
20,"250 - wt-7 - mcgrath1","without Ad",0.393206628575899,42.6137552093698,70.980560865429,NA,NA,1.22952111316401,0.40944125167197,41.7830801438623,70.3200514064871,NA,NA,1.0899956929657,0.530696062665273,40.6448227941871,69.2856881447037,NA,NA,0.900731972703685,0.409441252600262,41.7827586399084,70.3197888415703,NA,NA,1.08996430344714
21,"250 - wt-1 - ripe5","without Ad",0.37297591618291,50.930114076088,79.4745426793608,NA,NA,1.37110853428764,0.383324260361781,51.3973125793855,79.7445020997412,NA,NA,1.42514334068173,0.663078640794331,47.9701177389753,77.0946304234661,NA,NA,0.939629383376936,0.383319593927977,51.3717641182825,79.7301376756403,NA,NA,1.42261570673243
22,"300 - wt-1 - mcgrath1","without Ad",0.217587155613512,50.4673676248336,83.5950208879766,NA,NA,1.46462650398739,0.222857487046096,49.5457507866311,83.0601183096066,NA,NA,1.35008077614959,0.337437500384099,48.3746858290034,82.2994903774384,NA,NA,1.20405535156671,0.222857487107302,49.5457661968744,83.0600791731292,NA,NA,1.35007624495447
23,"150 - wt-1 - ripe5","without Ad",0.209842605279769,29.6892359838226,52.4744854635373,NA,NA,2.40586279843133,0.20981931407236,29.2407114433365,52.1413585147999,NA,NA,2.3350143288005,0.246620495338159,28.9990438242082,51.9162374869485,NA,NA,2.29524025669856,0.213997384243688,29.2184051126051,51.9762932604222,NA,NA,2.32948954628377
24,"200 - wt-8 - mcgrath1","without Ad",0.161132771547913,34.7360640809487,57.4330153282704,NA,NA,0.966303145160735,0.160339648452636,34.2166651657481,57.0957726314453,NA,NA,0.894766043607002,0.367695915047609,32.3625732328735,55.7438158623633,NA,NA,0.638544543392938,0.160339648455007,34.2166612924155,57.0957735637411,NA,NA,0.894765995556918
